Order Number,Customer ID,Product Code,Quantity,Order Total
85,U0427954,P3o9u3j7i,1,23.6
86,U0256802,P4m8d4o0j,1,23.91
87,U0981812,P8v6e9a8u,1,9.48
88,U0256802,P6j6g6y5v,4,26.04
89,U0937535,P6h3e5r4f,1,8.7
89,U0937535,P2q1m3t6f,1,24.95
90,U0358639,P6v9v8i4j,1,4.34
91,U0655434,P4m8d4o0j,1,23.91
91,U0655434,P3o9u3j7i,4,94.4
92,U0598998,P6v9v8i4j,1,4.34
93,U0822745,P0l6k4p8o,5,98.15
93,U0822745,P6j6g6y5v,1,6.51
94,U0029048,P8v6e9a8u,4,37.92
95,U0029048,P9e9t4o7p,2,49.06
96,U0097757,P6j6g6y5v,1,6.51
96,U0097757,P9e9t4o7p,5,122.65
96,U0097757,P0l6k4p8o,2,39.26
96,U0097757,P6q1g8w6t,4,18.92
96,U0097757,P6j6g6y5v,1,6.51
97,U0114926,P6v9v8i4j,1,4.34
98,U0886351,P0l6k4p8o,1,19.63
99,U0256802,P6h3e5r4f,5,43.5
100,U0311204,P9e9t4o7p,1,24.53
101,U0347996,P2q1m3t6f,5,124.75
101,U0347996,P0l6k4p8o,1,19.63
101,U0347996,P6j6g6y5v,3,19.53
101,U0347996,P3o9u3j7i,5,118.0
102,U0581151,P4m8d4o0j,3,71.73
102,U0581151,P9e9t4o7p,1,24.53
103,U0330579,P0l6k4p8o,4,78.52
104,U0655434,P4m8d4o0j,1,23.91
104,U0655434,P3o9u3j7i,1,23.6
105,U0851832,P8v6e9a8u,1,9.48
106,U0311204,P6q1g8w6t,2,9.46
107,U0937535,P6h3e5r4f,3,26.1
108,U0311204,P6j6g6y5v,1,6.51
108,U0311204,P6q1g8w6t,1,4.73
108,U0311204,P0l6k4p8o,1,19.63
108,U0311204,P4m8d4o0j,1,23.91
109,U0427954,P2q1m3t6f,3,74.85
110,U0851832,P6q1g8w6t,1,4.73
110,U0851832,P6j6g6y5v,1,6.51
110,U0851832,P4m8d4o0j,1,23.91
111,U0454585,P9e9t4o7p,1,24.53
111,U0454585,P6j6g6y5v,1,6.51
111,U0454585,P8v6e9a8u,1,9.48
112,U0347996,P9e9t4o7p,2,49.06
113,U0851832,P9e9t4o7p,2,49.06
113,U0851832,P6v9v8i4j,1,4.34
114,U0822745,P6q1g8w6t,5,23.65
115,U0851832,P3o9u3j7i,5,118.0
115,U0851832,P6j6g6y5v,5,32.55
115,U0851832,P0l6k4p8o,1,19.63
115,U0851832,P3o9u3j7i,2,47.2
116,U0937535,P6j6g6y5v,1,6.51
117,U0598998,P6h3e5r4f,1,8.7
117,U0598998,P0l6k4p8o,1,19.63
118,U0061746,P9e9t4o7p,1,24.53
118,U0061746,P9e9t4o7p,3,73.59
118,U0061746,P6h3e5r4f,3,26.1
119,U0454585,P6j6g6y5v,5,32.55
120,U0598998,P6h3e5r4f,3,26.1
120,U0598998,P4m8d4o0j,1,23.91
121,U0943199,P8v6e9a8u,1,9.48
121,U0943199,P8v6e9a8u,1,9.48
121,U0943199,P4m8d4o0j,2,47.82
122,U0351338,P0l6k4p8o,4,78.52
123,U0330579,P9e9t4o7p,1,24.53
124,U0458365,P9e9t4o7p,4,98.12
125,U0097757,P3o9u3j7i,1,23.6
125,U0097757,P6q1g8w6t,1,4.73
125,U0097757,P8v6e9a8u,1,9.48
126,U0097757,P0l6k4p8o,1,19.63
127,U0655434,P6q1g8w6t,1,4.73
127,U0655434,P6j6g6y5v,1,6.51
128,U0097757,P6h3e5r4f,1,8.7
128,U0097757,P6v9v8i4j,1,4.34
129,U0358639,P6j6g6y5v,1,6.51
129,U0358639,P9e9t4o7p,4,98.12
130,U0454585,P4m8d4o0j,5,119.55
131,U0029048,P9e9t4o7p,1,24.53
131,U0029048,P0l6k4p8o,4,78.52
131,U0029048,P6h3e5r4f,1,8.7
132,U0458365,P9e9t4o7p,1,24.53
133,U0358639,P8v6e9a8u,2,18.96
134,U0822745,P9e9t4o7p,1,24.53
135,U0598998,P6q1g8w6t,4,18.92
135,U0598998,P0l6k4p8o,3,58.89
136,U0432732,P6j6g6y5v,3,19.53
136,U0432732,P4m8d4o0j,5,119.55
136,U0432732,P2q1m3t6f,1,24.95
137,U0497627,P8v6e9a8u,4,37.92
138,U0427954,P0l6k4p8o,2,39.26
138,U0427954,P4m8d4o0j,4,95.64
139,U0311204,P2q1m3t6f,1,24.95
140,U0598998,P9e9t4o7p,1,24.53
141,U0029048,P4m8d4o0j,2,47.82
142,U0330579,P2q1m3t6f,1,24.95
143,U0655434,P8v6e9a8u,2,18.96
144,U0886351,P6j6g6y5v,1,6.51
145,U0937535,P6h3e5r4f,1,8.7
145,U0937535,P4m8d4o0j,1,23.91
145,U0937535,P8v6e9a8u,1,9.48
146,U0981812,P6v9v8i4j,1,4.34
147,U0458365,P2q1m3t6f,1,24.95
147,U0458365,P3o9u3j7i,3,70.8
148,U0458365,P3o9u3j7i,2,47.2
149,U0886351,P8v6e9a8u,5,47.4
149,U0886351,P6j6g6y5v,2,13.02
150,U0458365,P3o9u3j7i,5,118.0
151,U0311204,P2q1m3t6f,1,24.95
152,U0458365,P2q1m3t6f,1,24.95
152,U0458365,P0l6k4p8o,3,58.89
